incident_id,FacilityName,assigned_cell_id
541,Station 08,270
542,Station 07,149
543,Station 07,149
544,Station 04,430
545,Station 19,249
546,Station 15,432
547,Station 11,250
548,Station 11,250
549,Station 08,270
550,Station 20,220
551,Station 09,296
552,Station 11,250
553,Station 12,352
554,Station 08,270
555,Station 07,149
556,Station 28,435
557,Station 29,386
558,Station 33,501
559,Station 01,329
560,Station 09,296
561,Station 15,432
562,Station 01,329
563,Station 08,270
564,Station 06,375
565,Station 21,350
566,Station 09,296
567,Station 13,224
568,Station 06,375
569,Station 11,250
570,Station 04,430
571,Station 17,223
572,Station 04,430
573,Station 01,329
574,Station 19,249
575,Station 17,223
576,Station 10,345
577,Station 28,435
578,Station 15,432
579,Station 09,296
580,Station 04,430
581,Station 24,228
582,Station 11,250
583,Station 25,276
584,Station 16,270
585,Station 14,354
586,Station 21,350
587,Station 21,350
588,Station 11,250
589,Station 09,296
590,Station 13,224
591,Station 04,430
592,Station 11,250
593,Station 12,352
594,Station 14,354
595,Station 08,270
596,Station 16,270
597,Station 08,270
598,Station 29,386
599,Station 09,296
600,Station 01,329
601,Station 03,326
602,Station 14,354
603,Station 33,501
604,Station 24,228
605,Station 09,296
606,Station 01,329
607,Station 20,220
608,Station 21,350
609,Station 16,270
610,Station 09,296
611,Station 28,435
612,Station 19,249
613,Station 19,249
614,Station 33,501
615,Station 24,228
616,Station 28,435
617,Station 17,223
618,Station 09,296
619,Station 11,250
620,Station 09,296
621,Station 25,276
622,Station 25,276
623,Station 12,352
624,Station 18,355
625,Station 11,250
626,Station 09,296
627,Station 12,352
628,Station 12,352
629,Station 09,296
630,Station 09,296
631,Station 09,296
632,Station 09,296
633,Station 04,430
634,Station 08,270
635,Station 19,249
636,Station 24,228
637,Station 09,296
638,Station 12,352
639,Station 08,270
640,Station 17,223
641,Station 12,352
642,Station 20,220
643,Station 10,345
644,Station 21,350
645,Station 09,296
646,Station 17,223
647,Station 24,228
648,Station 28,435
649,Station 28,435
650,Station 18,355
651,Station 09,296
652,Station 24,228
653,Station 09,296
654,Station 08,270
655,Station 08,270
656,Station 25,276
657,Station 24,228
658,Station 34,47
659,Station 12,352
660,Station 19,249
661,Station 16,270
662,Station 04,430
663,Station 27,318
664,Station 09,296
665,Station 04,430
666,Station 25,276
667,Station 01,329
668,Station 12,352
669,Station 12,352
670,Station 21,350
671,Station 04,430
672,Station 33,501
673,Station 12,352
674,Station 09,296
675,Station 09,296
676,Station 11,250
677,Station 12,352
678,Station 12,352
679,Station 16,270
680,Station 06,375
681,Station 12,352
682,Station 21,350
683,Station 15,432
684,Station 12,352
685,Station 12,352
686,Station 37,80
687,Station 01,329
688,Station 12,352
689,Station 03,326
690,Station 12,352
691,Station 08,270
692,Station 05,296
693,Station 28,435
694,Station 07,149
695,Station 14,354
696,Station 28,435
697,Station 12,352
698,Station 08,270
699,Station 01,329
700,Station 13,224
701,Station 19,249
702,Station 11,250
703,Station 07,149
704,Station 10,345
705,Station 05,296
706,Station 33,501
707,Station 23,177
708,Station 33,501
709,Station 03,326
710,Station 12,352
711,Station 03,326
712,Station 19,249
713,Station 16,270
714,Station 09,296
715,Station 11,250
716,Station 20,220
717,Station 19,249
718,Station 09,296
719,Station 06,375
720,Station 16,270
721,Station 20,220
722,Station 19,249
723,Station 23,177
724,Station 19,249
725,Station 24,228
726,Station 12,352
727,Station 20,220
728,Station 08,270
729,Station 11,250
730,Station 11,250
731,Station 08,270
732,Station 15,432
733,Station 11,250
734,Station 17,223
735,Station 06,375
736,Station 23,177
737,Station 04,430
