xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
449617544,EASTLAND AVE,,E,0.225012069678407,4,DAVIDSON,TN,37206,America/Chicago,36.18347,-86.74498,36.18311,-86.74097
449618876,CHEROKEE RD,,S,0.449831576840572,4,DAVIDSON,TN,37205,America/Chicago,36.13605,-86.84157,36.1303,-86.83779
1524386472,,,O,0.00933383943395,4,DAVIDSON,TN,37203,America/Chicago,36.15501,-86.7793,36.15504,-86.77946
449617545,EASTLAND AVE,,W,0.225012069678407,4,DAVIDSON,TN,37206,America/Chicago,36.18311,-86.74097,36.18347,-86.74498
449618875,SLOAN RD,,S,0.392944860963731,4,DAVIDSON,TN,37209,America/Chicago,36.14098,-86.841,36.13605,-86.84157
160491216,COUNTY HOSPITAL RD,,W,0.237530967429402,4,DAVIDSON,TN,37218,America/Chicago,36.18712,-86.86124,36.18852,-86.86513
396114027,51ST AVE N,,N,0.074703528722165,4,DAVIDSON,TN,37209,America/Chicago,36.14529,-86.84819,36.14637,-86.84825
449617546,S 16TH ST,,N,0.134149646143692,4,DAVIDSON,TN,37206,America/Chicago,36.17045,-86.74283,36.17238,-86.74257
449618878,CHEROKEE RD,,N,0.392944860963731,4,DAVIDSON,TN,37209,America/Chicago,36.13605,-86.84157,36.14098,-86.841
396004934,SEVIER ST,,E,0.183584978469922,5,DAVIDSON,TN,37206,America/Chicago,36.16601,-86.73832,36.16571,-86.73505
449617547,S 16TH ST,,N,0.068160390679425,4,DAVIDSON,TN,37206,America/Chicago,36.17238,-86.74257,36.17336,-86.74243
449618877,CHEROKEE RD,,N,0.449831576840572,4,DAVIDSON,TN,37205,America/Chicago,36.1303,-86.83779,36.13605,-86.84157
449617548,S 16TH ST,,N,0.148184414383222,4,DAVIDSON,TN,37206,America/Chicago,36.17336,-86.74243,36.17549,-86.74212
449617549,S 16TH ST,,N,0.096786712430157,4,DAVIDSON,TN,37206,America/Chicago,36.17549,-86.74212,36.17688,-86.74192
461625397,CENTENNIAL BLVD,,E,0.209901654012996,5,DAVIDSON,TN,37209,America/Chicago,36.18994,-86.88219,36.18772,-86.87978
156586981,GRAND AVE,,E,0.038445806537429,5,DAVIDSON,TN,37212,America/Chicago,36.14676,-86.79255,36.14667,-86.79187
449617540,EASTLAND AVE,,E,0.190905244720397,4,DAVIDSON,TN,37206,America/Chicago,36.18379,-86.74838,36.18347,-86.74498
449617541,EASTLAND AVE,,W,0.190905244720397,4,DAVIDSON,TN,37206,America/Chicago,36.18347,-86.74498,36.18379,-86.74838
1524431087,TN-96,96,E,0.565893550440849,3,DAVIDSON,TN,37064,America/Chicago,36.002176121837,-87.024610203018,35.997859197653,-87.016007559107
1524397123,US-70,70,W,0.644827449529752,3,DAVIDSON,TN,37221,America/Chicago,36.09169,-86.981,36.09153509274,-86.992547421328
1524470655,,,S,0.155921612113565,3,DAVIDSON,TN,37216,America/Chicago,36.23935,-86.73971,36.23844,-86.73968
160014022,JO JOHNSTON AVE,,W,0.058161397447907,4,DAVIDSON,TN,37203,America/Chicago,36.16425,-86.79327,36.16384,-86.79418
485366852,SNYDER AVE,,S,0.003230968305208,5,DAVIDSON,TN,37209,America/Chicago,36.15635,-86.85922,36.15631,-86.85925
160330567,LUTIE ST,,E,0.067214251683377,5,DAVIDSON,TN,37210,America/Chicago,36.11676,-86.73685,36.11672,-86.73565
396068534,CLARKSVILLE PIKE,41,W,0.521033011500708,4,DAVIDSON,TN,37080,America/Chicago,36.31909,-86.89222,36.32095,-86.90129
396068536,DAVIDSON DR,,N,0.662953093064851,4,DAVIDSON,TN,37205,America/Chicago,36.12017,-86.90184,36.1295,-86.90331
449617553,N 16TH ST,,S,0.232524739039558,4,DAVIDSON,TN,37206,America/Chicago,36.18311,-86.74097,36.17977,-86.74148
449617554,N 16TH ST,,S,0.132358119728447,4,DAVIDSON,TN,37206,America/Chicago,36.17977,-86.74148,36.17787,-86.74178
155796610,GRAYBAR LN,,E,0.098309347284994,5,DAVIDSON,TN,37215,America/Chicago,36.11121,-86.81133,36.11105,-86.80958
449617555,N 16TH ST,,S,0.068873005854641,4,DAVIDSON,TN,37206,America/Chicago,36.17787,-86.74178,36.17688,-86.74192
449617556,S 16TH ST,,S,0.096786712430157,4,DAVIDSON,TN,37206,America/Chicago,36.17688,-86.74192,36.17549,-86.74212
449617557,S 16TH ST,,S,0.148184414383222,4,DAVIDSON,TN,37206,America/Chicago,36.17549,-86.74212,36.17336,-86.74243
449617558,S 16TH ST,,S,0.068160390679425,4,DAVIDSON,TN,37206,America/Chicago,36.17336,-86.74243,36.17238,-86.74257
449617559,S 16TH ST,,S,0.134149646143692,4,DAVIDSON,TN,37206,America/Chicago,36.17238,-86.74257,36.17045,-86.74283
396004921,HERMAN ST,,W,0.060910696650731,4,DAVIDSON,TN,37208,America/Chicago,36.1651,-86.80119,36.16468,-86.80215
1524597897,WHITES CREEK PIKE,431,S,0.375886030176948,3,DAVIDSON,TN,37080,America/Chicago,36.32107,-86.86744,36.31579,-86.86582
160156869,LINDSLEY AVE,,E,0.061926680173262,5,DAVIDSON,TN,37210,America/Chicago,36.15193,-86.76999,36.15235,-86.76901
156705875,WHITWORTH BLVD,,W,0.111818617002535,5,DAVIDSON,TN,37205,America/Chicago,36.12775,-86.82295,36.12847,-86.82471
464287887,OLD HICKORY BLVD,,N,0.083827824502707,4,DAVIDSON,TN,37076,America/Chicago,36.15757,-86.59676,36.15878,-86.59687
160752949,MORGAN RD,,W,0.424593805644866,4,DAVIDSON,TN,37080,America/Chicago,36.33945,-86.83512,36.337293421837,-86.842259734532
449617550,N 16TH ST,,N,0.068873005854641,4,DAVIDSON,TN,37206,America/Chicago,36.17688,-86.74192,36.17787,-86.74178
449617551,N 16TH ST,,N,0.132358119728447,4,DAVIDSON,TN,37206,America/Chicago,36.17787,-86.74178,36.17977,-86.74148
160156867,WHITES CREEK PIKE,,N,0.495879218523915,4,DAVIDSON,TN,37207,America/Chicago,36.18882,-86.77315,36.1955,-86.77511
449617552,N 16TH ST,,N,0.232524739039558,4,DAVIDSON,TN,37206,America/Chicago,36.17977,-86.74148,36.18311,-86.74097
476014055,,,S,0.078457224618409,4,DAVIDSON,TN,37013,America/Chicago,36.03884,-86.6491,36.0379,-86.64838
160096754,HAMILTON CHURCH RD,,E,0.321111312716936,5,DAVIDSON,TN,37013,America/Chicago,36.0554,-86.58403,36.05481,-86.57833
160330563,VISCO DR,,E,0.087270495843785,5,DAVIDSON,TN,37210,America/Chicago,36.15811,-86.74549,36.15833,-86.74395
1524441751,THOMPSON LN,155,N,0.220051319874301,4,DAVIDSON,TN,37204,America/Chicago,36.1124,-86.76801,36.11093,-86.77135
156162042,TREMONT AVE,,E,0.066172431422278,5,DAVIDSON,TN,37212,America/Chicago,36.1442,-86.79057,36.14411,-86.78939
1524428783,,,W,0.267241352508795,4,DAVIDSON,TN,37189,America/Chicago,36.27729,-86.79852,36.27964,-86.80231
155925018,2ND AVE N,,N,0.197179591201573,5,DAVIDSON,TN,37208,America/Chicago,36.18492,-86.78639,36.18712,-86.78821
396159474,MCMURRAY DR,,W,0.54302910349803,4,DAVIDSON,TN,37211,America/Chicago,36.05519,-86.7344,36.0551,-86.74264
464255323,N 11TH ST,,N,0.074641212997597,4,DAVIDSON,TN,37206,America/Chicago,36.17852,-86.74982,36.1796,-86.74985
156199335,S 9TH ST,,N,0.083323571957505,5,DAVIDSON,TN,37206,America/Chicago,36.16845,-86.75297,36.16952,-86.75365
464267305,ARMORY OAKS DR,,S,0.045080951221005,5,DAVIDSON,TN,37204,America/Chicago,36.10477,-86.7596,36.10412,-86.75967
1524452403,,,S,0.19149818127815,4,DAVIDSON,TN,37203,America/Chicago,36.1554,-86.78954,36.1531,-86.78765
396069445,MCGAVOCK PIKE,,N,0.030018030710629,4,DAVIDSON,TN,37214,America/Chicago,36.15206,-86.68383,36.15246,-86.68362
156109841,GLENVIEW DR,,W,0.119947838648629,5,DAVIDSON,TN,37206,America/Chicago,36.16422,-86.75191,36.16398,-86.75396
1524579740,,,N,0.228032798041954,4,DAVIDSON,TN,37216,America/Chicago,36.21454,-86.74804,36.21762,-86.7466
1524260820,,,S,0.082380263150985,4,DAVIDSON,TN,37217,America/Chicago,36.11908,-86.69934,36.11828,-86.70028
160417396,LIGON AVE,,W,0.160643250013245,4,DAVIDSON,TN,37207,America/Chicago,36.1944,-86.77234,36.19468,-86.7752
1524516153,,,E,0.077041608379136,4,DAVIDSON,TN,37013,America/Chicago,36.04247,-86.60721,36.04222,-86.60599
156645459,E IRIS DR,,S,0.024713606061869,4,DAVIDSON,TN,37204,America/Chicago,36.11654,-86.76524,36.1165,-86.7648
1524391396,PORTER RD,,E,0.345249856977524,4,DAVIDSON,TN,37206,America/Chicago,36.1954,-86.72328,36.19595,-86.71722
155952637,COMMERCE ST,,E,0.045414956251439,5,DAVIDSON,TN,37203,America/Chicago,36.15979,-86.78355,36.16025,-86.78297
1524362854,RIVERGATE PKWY,,N,0.036274081699454,4,DAVIDSON,TN,37072,America/Chicago,36.3151,-86.71297,36.31511,-86.71362
160268069,SMITH SPRINGS RD,,E,0.213304927883271,4,DAVIDSON,TN,37013,America/Chicago,36.08717,-86.60115,36.08528,-86.59815
396069416,,,E,0.013942793598325,4,DAVIDSON,TN,37214,America/Chicago,36.15641,-86.63138,36.15655,-86.6312
1524350881,I-65 S,65,S,0.840433379834473,1,DAVIDSON,TN,37220,America/Chicago,36.08966,-86.76283,36.07795,-86.76612
1524452427,13TH AVE S,,N,0.074832424122044,4,DAVIDSON,TN,37203,America/Chicago,36.15501,-86.7883,36.156,-86.78884
1524529461,EDMONDSON PIKE,,S,0.656396433844977,4,DAVIDSON,TN,37211,America/Chicago,36.04,-86.74349,36.03052,-86.744
1524348516,,,N,0.121927391484369,4,DAVIDSON,TN,37206,America/Chicago,36.18485,-86.75924,36.1863,-86.75802
156122836,14TH AVE N,,S,0.068197797062118,5,DAVIDSON,TN,37208,America/Chicago,36.169,-86.80012,36.16814,-86.79952
156020829,,,W,0.042909864005293,5,DAVIDSON,TN,37206,America/Chicago,36.16871,-86.72933,36.16905,-86.72996
159775882,S 12TH ST,,S,0.042150619442818,5,DAVIDSON,TN,37206,America/Chicago,36.16297,-86.74992,36.16236,-86.74993
475988353,VISCO DR,,E,0.091338215964246,5,DAVIDSON,TN,37210,America/Chicago,36.15889,-86.74029,36.15938,-86.73877
1524390086,GALLATIN AVE,,N,0.486512061252634,4,DAVIDSON,TN,37206,America/Chicago,36.18379,-86.74838,36.19043,-86.74548
156644109,MT VIEW RD,,E,0.678500658495089,5,DAVIDSON,TN,37013,America/Chicago,36.0588,-86.67045,36.05471,-86.66036
156020836,FOGG ST,,E,0.086527393909643,5,DAVIDSON,TN,37203,America/Chicago,36.1508,-86.77922,36.15083,-86.77767
441432657,HAMILTON CHURCH RD,,W,0.093002208593513,5,DAVIDSON,TN,37013,America/Chicago,36.05695,-86.59085,36.05717,-86.59248
441432656,HAMILTON CHURCH RD,,E,0.093002208593513,5,DAVIDSON,TN,37013,America/Chicago,36.05717,-86.59248,36.05695,-86.59085
156743921,W IRIS DR,,N,0.095662314160043,4,DAVIDSON,TN,37204,America/Chicago,36.11322,-86.76847,36.11449,-86.76915
159697898,PLUS PARK BLVD,,N,0.680797943956649,5,DAVIDSON,TN,37217,America/Chicago,36.12407,-86.72501,36.13272,-86.72318
1524482262,,,S,0.173103211556188,3,DAVIDSON,TN,37213,America/Chicago,36.17658,-86.77113,36.17593,-86.77192
156644174,LENORE ST,,W,0.218739806728717,5,DAVIDSON,TN,37206,America/Chicago,36.16527,-86.75149,36.16465,-86.7552
1524483598,,,S,0.087208568855467,4,DAVIDSON,TN,37220,America/Chicago,36.08315,-86.76663,36.08204,-86.76597
475996805,S 6TH ST,,N,0.054992566498957,5,DAVIDSON,TN,37206,America/Chicago,36.16575,-86.75881,36.16647,-86.75923
156165998,6TH AVE N,,S,0.070209465082416,5,DAVIDSON,TN,37219,America/Chicago,36.16951,-86.7858,36.1686,-86.78524
1524373538,,,E,0.174089828899441,4,DAVIDSON,TN,37207,America/Chicago,36.20662,-86.7771,36.20692,-86.77644
160808137,E DUE WEST AVE,,E,0.030848257564222,4,DAVIDSON,TN,37115,America/Chicago,36.24542,-86.71074,36.24512,-86.71033
396006295,GRAND AVE,,E,0.067241790328211,5,DAVIDSON,TN,37212,America/Chicago,36.1471,-86.79623,36.14701,-86.79503
156059065,HYDES FERRY RD,,S,0.117428201977909,5,DAVIDSON,TN,37218,America/Chicago,36.191,-86.83868,36.1895,-86.83769
396006291,RAINS AVE,,S,0.061926261511432,5,DAVIDSON,TN,37203,America/Chicago,36.14014,-86.76381,36.13925,-86.76394
156013219,VALLEY RD,,E,0.073354563564785,5,DAVIDSON,TN,37205,America/Chicago,36.13325,-86.83684,36.13379,-86.83571
156013217,E IRIS DR,,S,0.039013821309007,4,DAVIDSON,TN,37204,America/Chicago,36.11453,-86.76291,36.11402,-86.76262
1524386841,CENTENNIAL BLVD,,W,0.044532942144245,5,DAVIDSON,TN,37243,America/Chicago,36.1712,-86.87312,36.17111,-86.87391
1524337831,I-24 W,24,N,0.211386409601713,1,DAVIDSON,TN,37213,America/Chicago,36.17215,-86.7686,36.17458,-86.7709
1524260869,8,,N,0.270816379654221,4,DAVIDSON,TN,37214,America/Chicago,36.16464,-86.68863,36.16841,-86.68799
